statut_commercialisation,specialite,dosage,forme,presentation,class_therapeutique,PPV
Non Commercialisé,CELLUVISC,"4   MG  /  0,4  ML",COLLYRE RECIPIENT UNIDOSE,BOITE DE 30,OPHTALMOLOGIE,"41,5"
Commercialisé,CETIRAL,1   MG  /   ML,SOLUTION BUVABLE,FLACON DE 60 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"25,6"
Commercialisé,CETIRAL,10   MG,COMPRIME PELLICULE,BOITE DE 15,PNEUMO-ALLERGO-PHTYSIOLOGIE,"42,8"
Commercialisé AO,CHEMOSET,2   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 2 ML,CANCEROLOGIE-HEMATOLOGIE,269
Commercialisé,CHEMOSET,2   MG  /   ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULE DE 4 ML,CANCEROLOGIE-HEMATOLOGIE,511
Retiré du Marché,CHEMOSET,4   MG,COMPRIME PELLICULE,BOITE DE 1,-,22
Commercialisé AO,CHEMOSET,4   MG,COMPRIME PELLICULE,BOITE DE 10,CANCEROLOGIE-HEMATOLOGIE,"175,7"
Commercialisé AO,CHEMOSET,4   MG,COMPRIME PELLICULE,BOITE DE 5,CANCEROLOGIE-HEMATOLOGIE,"91,6"
Retiré du Marché,CHEMOSET,8   MG,COMPRIME PELLICULE,BOITE DE 1,-,39
Commercialisé,CHEMOSET,8   MG,COMPRIME PELLICULE,BOITE DE 10,CANCEROLOGIE-HEMATOLOGIE,333
Retiré du Marché,CHEMOSET,8   MG,COMPRIME PELLICULE,BOITE DE 5,-,188
Commercialisé,CICLOVIRAL,"0,05",CREME,TUBE DE 10 G,DERMATOLOGIE-VENEROLOGIE,"38,9"
Commercialisé,CICLOVIRAL,200   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"91,1"
Commercialisé,CICLOVIRAL,250   MG,POUDRE LYOPHILISEE + SOLVANT,BOITE DE 5 FLACONS,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,628
Commercialisé,CICLOVIRAL,400   MG  /  5  ML,SUSPENSION BUVABLE,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"186,9"
Commercialisé,CICLOVIRAL,400   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,242
Commercialisé,CICLOVIRAL,800   MG,COMPRIME,BOITE DE 12,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,247
Commercialisé,CICLOVIRAL,800   MG,COMPRIME,BOITE DE 25,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,469
Commercialisé,CLOMITER,"0,01",CREME,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"27,7"
Commercialisé,CLOMITER,"0,01",SOLUTION TOPIQUE,FLACON DE 30 ML,DERMATOLOGIE-VENEROLOGIE,27
Commercialisé,CO-IRVEL,"150   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"69,5"
Commercialisé,CO-IRVEL,"150   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,124
Retiré du Marché,CO-IRVEL,"150   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 7,CARDIOLOGIE-ANGEIOLOGIE,"35,2"
Commercialisé,CO-IRVEL,"300   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,85
Commercialisé,CO-IRVEL,"300   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,158
Retiré du Marché,CO-IRVEL,"300   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 7,CARDIOLOGIE-ANGEIOLOGIE,"42,5"
Commercialisé,COMBIGAN,2   MG  /   ML + 5   MG  /   ML,COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"169,7"
Non Commercialisé,CORTIVENT,250 µG  /  DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"86,5"
Commercialisé AO,CORTIVENT,50 µG  /  DOSE,SUSPENSION POUR INHALATION BUCCALE,FLACON DE 200 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,55
Non Commercialisé,CORTOFTAL,0,COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"22,9"
Non Commercialisé,COSMOFER,50   MG  /   ML,SOLUTION INJECTABLE IV-IM,BOITE DE 5 AMPOULE DE 2 ML,HEMATOLOGIE ET HEMOSTASE,288
Commercialisé,CO-TANZAAR,100   MG  /  25   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"79,4"
Commercialisé,CO-TANZAAR,100   MG  /  25   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"139,7"
Commercialisé,CO-TANZAAR,"50   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"60,6"
Commercialisé,CO-TANZAAR,"50   MG  /  12,5   MG",COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"106,7"
Non Commercialisé,CUSICROM,"0,04",COLLYRE,FLACON DE 10 ML,OPHTALMOLOGIE,"34,6"
Non Commercialisé,CUSICROM NASALE,"0,04",SOLUTION NASALE,FLACON DE 15 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"34,3"
Non Commercialisé,CUSIMOLOL,"0,0025",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"32,6"
Non Commercialisé,CUSIMOLOL,"0,005",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"37,7"
Non Commercialisé,CUSIVIRAL,"0,03",POMMADE OPHTALMIQUE,"TUBE DE 4,5 G",OPHTALMOLOGIE,"79,7"
Retiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 15 G,-,"183,6"
Retiré du Marché,CUSIVIRAL,"0,05",POMMADE,TUBE DE 2 G,-,"35,7"
Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 15 G,DERMATOLOGIE-VENEROLOGIE,"19,1"
Non Commercialisé,DECLOBAN,"0,0005",POMMADE,TUBE DE 30 G,DERMATOLOGIE-VENEROLOGIE,"28,6"
Commercialisé,DILOVAC,25   MG,COMPRIME SECABLE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"72,8"
Commercialisé,DILOVAC,"6,25   MG",COMPRIME SECABLE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"31,2"
Commercialisé,DIPICOR,10   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"75,9"
Commercialisé,DIPICOR,10   MG,COMPRIME,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,"150,1"
Commercialisé,DIPICOR,5   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"51,8"
Commercialisé,DIPICOR,5   MG,COMPRIME,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,99
Commercialisé,DONA,1500   MG,POUDRE POUR SOLUTION ORAL,BOITE DE 30 SACHETS,RHUMATOLOGIE,"129,9"
Commercialisé,DOXICAN,20   MG,GELULE,BOITE DE 10,ANESTHESIE-REANIMATION,"41,1"
Commercialisé,DOXICAN,20   MG,GELULE,BOITE DE 20,ANESTHESIE-REANIMATION,"72,4"
Non Commercialisé,DOXICAN,20   MG,SUPPOSITOIRE,BOITE DE 6,ANESTHESIE-REANIMATION,"37,4"
Non Commercialisé,ELEBLOC,"0,01",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"35,4"
Non Commercialisé,ELEBLOC,"0,02",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"37,7"
Retiré du Marché,ELLEACNELLE,"2   MG  /  0,035   MG",COMPRIME,BOITE DE 21,-,"36,5"
Commercialisé,EUCARBON,180   MG  /  25   MG  /  105   MG  /  25   MG,COMPRIME,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"29,9"
Commercialisé,EUCARBON,180   MG  /  25   MG  /  105   MG  /  50   MG,COMPRIME,BOITE DE 100,GASTRO-ENTERO-HEPATOLOGIE,85
Non Commercialisé,EXOCINE,"0,003",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"37,7"
Commercialisé AO,FEIBA,1000 UI  /  20  ML,POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV,COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE),CANCEROLOGIE-HEMATOLOGIE,6472
Commercialisé AO,FEIBA,500 UI  /  20  ML,POUDRE LYOPHILISEE POUR INJECTION OU PERFUSION IV,COFFRET(2 FLACONS / 20 ML+ SERINGUE + AIGUILLE + DISPOSITIF DE TRANSFERT + 1 NECESSAIRE),CANCEROLOGIE-HEMATOLOGIE,3435
Retiré du Marché,FERRIPROX,100   MG  /   ML,SOLUTION ORALE,FLACON DE 500 ML,ANESTHESIE-REANIMATION,1388
Commercialisé,FERRIPROX,500   MG,COMPRIME PELLICULE,BOITE DE 100,ANESTHESIE-REANIMATION,2384
Commercialisé,FLAMIX,15   MG,COMPRIME,BOITE DE 14,ANESTHESIE-REANIMATION,"50,8"
Commercialisé,FLAMIX,"7,5   MG",COMPRIME,BOITE DE 14,ANESTHESIE-REANIMATION,"33,8"
Non Commercialisé,FLOXIL,500   MG,GELULE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,1"
Non Commercialisé,FLOXIL,500   MG,GELULE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"105,9"
Commercialisé,GANFORT,"0,3   MG  /   ML + 5   MG  /   ML",COLLYRE,FLACON DE 3 ML,OPHTALMOLOGIE,212
Non Commercialisé,GAPREX,150   MG,GELULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"61,2"
Non Commercialisé,GAPREX,150   MG,GELULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"161,1"
Commercialisé,GAPREX,150   MG,GELULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,271
Non Commercialisé,GAPREX,25   MG,GELULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"57,1"
Commercialisé,GAPREX,25   MG,GELULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,"102,1"
Non Commercialisé,GAPREX,75   MG,GELULE,BOITE DE 10,NEUROLOGIE-PSYCHIATRIE,"40,6"
Non Commercialisé,GAPREX,75   MG,GELULE,BOITE DE 30,NEUROLOGIE-PSYCHIATRIE,"106,9"
Commercialisé,GAPREX,75   MG,GELULE,BOITE DE 60,NEUROLOGIE-PSYCHIATRIE,"191,6"
Non Commercialisé,GASTROLIBER,30   MG,GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"135,5"
Non Commercialisé,GEMCITABINE HOSPIRA,2 G,POUDRE POUR SOLUTION A PERFUSION,FLACON DE 100 ML,CANCEROLOGIE-HEMATOLOGIE,1212
Non Commercialisé,GENTADEXA,0,SOLUTION OPHTALMIQUE,FLACON DE 10 ML,OPHTALMOLOGIE,"18,7"
Non Commercialisé,GENTAL,"0,003",COLLYRE,FLACON DE 10 ML,OPHTALMOLOGIE,"19,5"
Commercialisé,GENTAMYCINE,160   MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES DE 4 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,112
Commercialisé,GENTAMYCINE,160   MG,SOLUTION INJECTABLE,BOITE UNITAIRE DE 4 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"26,2"
Commercialisé AO,GENTAMYCINE,40   MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES DE 2 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"50,5"
Commercialisé,GENTAMYCINE LLORENTE,120   MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES (3 ML),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"104,6"
Commercialisé,GENTAMYCINE LLORENTE,120   MG,SOLUTION INJECTABLE,BOITE UNITAIRE (3 ML),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"21,5"
Commercialisé,GENTAMYCINE LLORENTE,40   MG,SOLUTION INJECTABLE,BOITE UNITAIRE (2 ML),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"11,4"
Commercialisé,GENTAMYCINE LLORENTE,80   MG,SOLUTION INJECTABLE,BOITE UNITAIRE (2 ML),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"16,9"
Commercialisé,GENTAMYCINE LLORENTE,80   MG,SOLUTION INJECTABLE,BOITE DE 6 AMPOULES (2 ML),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"81,4"
Non Commercialisé,GIROFLOX,200   MG  /  100  ML,SOLUTION POUR PERFUSION,FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"133,6"
Commercialisé,HIPOTENSIL,25   MG,COMPRIME,BOITE DE 30,CANCEROLOGIE-HEMATOLOGIE,75
Commercialisé,HIPOTENSIL,50   MG,COMPRIME,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,140
Non Commercialisé,HYPRIL,"20   MG  /  12,5   MG",COMPRIME,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,"125,8"
Commercialisé,ICAM,5   MG,COMPRIME PELLICULE,BOITE DE 14,PNEUMO-ALLERGO-PHTYSIOLOGIE,"37,4"
Commercialisé,ICAM,5   MG,COMPRIME PELLICULE,BOITE DE 28,PNEUMO-ALLERGO-PHTYSIOLOGIE,"65,9"
Commercialisé,ICAM,5   MG,COMPRIME PELLICULE,BOITE DE 7,PNEUMO-ALLERGO-PHTYSIOLOGIE,21
Commercialisé,INALER,100 µG,AEROSOL,FLACON 200 DOSES,PNEUMO-ALLERGO-PHTYSIOLOGIE,"42,2"
Commercialisé,INALER,2   MG  /  5  ML,SOLUTION BUVABLE,FLACON DE 100 ML,PNEUMO-ALLERGO-PHTYSIOLOGIE,"16,3"
Commercialisé,INESO,20   MG,GELULE GASTRO-RESISTANTE,BOITE DE 28,-,"129,9"
Commercialisé,IPOSEC,30   MG,GELULE,BOITE DE 15,GASTRO-ENTERO-HEPATOLOGIE,"55,1"
Commercialisé,IPOSEC,30   MG,GELULE,BOITE DE 30,GASTRO-ENTERO-HEPATOLOGIE,"111,2"
Commercialisé,IRVEL,150   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,"60,9"
Commercialisé,IRVEL,150   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,"108,7"
Non Commercialisé,IRVEL,150   MG,COMPRIME PELLICULE,BOITE DE 7,CARDIOLOGIE-ANGEIOLOGIE,36
Commercialisé,IRVEL,300   MG,COMPRIME PELLICULE,BOITE DE 14,CARDIOLOGIE-ANGEIOLOGIE,84
Commercialisé,IRVEL,300   MG,COMPRIME PELLICULE,BOITE DE 28,CARDIOLOGIE-ANGEIOLOGIE,150
Non Commercialisé,IRVEL,300   MG,COMPRIME PELLICULE,BOITE DE 7,CARDIOLOGIE-ANGEIOLOGIE,47
Retiré du Marché,LISASPIN,100   MG,POUDRE ORALE,BOITE DE 20,-,"18,1"
Retiré du Marché,LISASPIN,1000   MG,POUDRE ORALE,BOITE DE 20,-,"48,7"
Retiré du Marché,LISASPIN,250   MG,POUDRE ORALE,BOITE DE 20,-,"18,9"
Non Commercialisé,LISASPIN,500   MG  /  5  ML,POUDRE POUR PREPARATION INJECTABLE ET SOLVANT,BOITE DE 1 FLACON DE POUDRE + 1 AMPOULE DE SOVANT DE 5 ML,ANESTHESIE-REANIMATION,"4,4"
Non Commercialisé,LISASPIN,500   MG  /  5  ML,POUDRE POUR PREPARATION INJECTABLE ET SOLVANT,BOITE DE 6 FLACON DE POUDRE + 6 AMPOULES DE SOVANT DE 5 ML,ANESTHESIE-REANIMATION,"23,4"
Retiré du Marché,LISASPIN,500   MG,POUDRE ORALE,BOITE DE 20,-,"22,8"
Commercialisé,LUMIGAN,"0,3   MG",COLLYRE,FLACON DE 3 ML,OPHTALMOLOGIE,214
Commercialisé AO,MEGAFLOX,100   MG  /  50  ML,SOLUTION POUR PERFUSION (IV),FLACON DE 50 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,8"
Commercialisé,MEGAFLOX,200   MG  /  100  ML,SOLUTION POUR PERFUSION (IV),FLACON DE 100 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"141,1"
Commercialisé,MEGAFLOX,250   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"51,4"
Commercialisé AO,MEGAFLOX,400   MG  /  200  ML,SOLUTION POUR PERFUSION (IV),FLACON DE 200 ML,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,253
Commercialisé,MEGAFLOX,500   MG,COMPRIME PELLICULE,BOITE DE 10,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,8"
Non Commercialisé,MEGAFLOX IST,500   MG,COMPRIME PELLICULE,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"35,5"
Non Commercialisé,METOSPIR,"1,5 MUI  /  250   MG",COMPRIME DISPERSIBLE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"74,8"
Non Commercialisé,METOSPIR,"1,5 MUI  /  250   MG",COMPRIME DISPERSIBLE,BOITE DE 24,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"106,5"
Commercialisé,MONONITRIL,20   MG,COMPRIME,BOITE DE 20,CARDIOLOGIE-ANGEIOLOGIE,17
Commercialisé,MONONITRIL,20   MG,COMPRIME,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,"49,5"
Commercialisé,MONONITRIL,40   MG,COMPRIME,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,"65,2"
Commercialisé,NOCOL,20   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"97,6"
Commercialisé,NOCOL,20   MG,COMPRIME PELLICULE,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,"188,5"
Commercialisé,NOCOL,40   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,171
Commercialisé,NOCOL,40   MG,COMPRIME PELLICULE,BOITE DE 60,CARDIOLOGIE-ANGEIOLOGIE,283
Commercialisé,NOLIP (Ex nom : TORSTINE),10   MG,COMPRIME PELLICULE,BOITE DE 10,CARDIOLOGIE-ANGEIOLOGIE,"59,7"
Commercialisé,NOLIP (Ex nom : TORSTINE),10   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,"154,1"
Commercialisé,NOLIP (Ex nom : TORSTINE),20   MG,COMPRIME PELLICULE,BOITE DE 10,CARDIOLOGIE-ANGEIOLOGIE,"96,5"
Commercialisé,NOLIP (Ex nom : TORSTINE),20   MG,COMPRIME PELLICULE,BOITE DE 30,CARDIOLOGIE-ANGEIOLOGIE,250
Commercialisé,NOMYC,150   MG,GELULE,BOITE DE 1,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"22,4"
Commercialisé,NOMYC,150   MG,GELULE,BOITE DE 2,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"39,5"
Commercialisé,NOMYC,150   MG,GELULE,BOITE DE 4,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"72,9"
Commercialisé,NOMYC,50   MG,GELULE,BOITE DE 7,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"78,3"
Commercialisé,NOPOROSE,35   MG,COMPRIME PELLICULE,BOITE DE 12,RHUMATOLOGIE,464
Commercialisé,NOPOROSE,35   MG,COMPRIME PELLICULE,BOITE DE 4,RHUMATOLOGIE,"181,9"
Retiré du Marché,NOVOTER,"0,01",CREME A USAGE TOPIQUE,TUBE DE 30 G,-,"25,5"
Retiré du Marché,NOVOTER,"0,01",CREME A USAGE TOPIQUE,TUBE DE 60 G,-,"45,9"
Non Commercialisé,OFLUREX,200   MG,COMPRIME PELLICULE,BOITE DE 16,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"147,7"
Non Commercialisé,OFLUREX,200   MG,COMPRIME PELLICULE,BOITE DE 8,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,"77,2"
Non Commercialisé,OFTALAR,"0,001",COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"42,9"
Retiré du Marché,OFTALMOTRIM,0,COLLYRE,FLACON DE 5 ML,OPHTALMOLOGIE,"27,8"
