Année,fr_Indicateur,ar_Indicateur,Ensemble,Thème
2014,Part des ménages sédentaires raccordés au réseau public d'assainissement (%)	,نسبة الأسر الساكنة المرتبطة بشبكة الصرف الصحي العمومية (%),97.5,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans un appartement (%)	,نسبة الأسر الساكنة التي تعيش في شقة (%),4.6,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans un logement de 10-19 ans (%),نسبة الأسر الساكنة التي تعيش في مسكن عمره بين 10 و19 سنة (%),20.2,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans un logement de 20-49 ans (%),نسبة الأسر الساكنة التي تعيش في مسكن عمره بين 20 و49 سنة (%),43.0,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans un logement de 50 ans ou plus (%)	,نسبة الأسر الساكنة التي تعيش في مسكن عمره 50 سنة أو أكثر (%),20.1,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans un logement de moins de 10 ans (%),نسبة الأسر الساكنة التي تعيش في مسكن عمره أقل من 10 سنوات (%),16.8,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans un logement rural (%),نسبة الأسر الساكنة التي تعيش في مسكن قروي (%),0.1,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans une maison marocaine (%)	,نسبة الأسر الساكنة التي تعيش في منزل مغربي تقليدي (%),91.1,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans une maison sommaire ou dans un bidonville (%)	,نسبة الأسر الساكنة التي تعيش في سكن عشوائي أو صفيحي (%),1.5,CONDITIONS D'HABITAT
2014,Part des ménages sédentaires vivant dans une villa ou un étage de villa (%)	,نسبة الأسر الساكنة التي تعيش في فيلا أو طابق في فيلا (%),2.3,CONDITIONS D'HABITAT
2014,Taille moyenne des ménages	,المتوسط العام لحجم الأسر,4.3,CONDITIONS D'HABITAT
