year,section,type,Champ,Art.,prog,proj/act,Ligne,code,fr_label,ar_label,amount_previous,amount_proposed,amount_approved
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.10.00,Total du projet  10 - Indémnités représentatives de frais,مجموع - ﺗﻌﻮﻳﻀﺎﺕ ﻣﻣﺜﻠﺔ ﻟﻠﻣﺼﺎﺭﻳﻒ    ,758200.0,758200.0,758200
2020,Fonctionnement,Crédits,10.0,10.0,10.0,20.0,0.0,10.10.10.20.00,Frais de réception de restauration dhebergement et des fêtes,ﻣﺼﺎﺭﻳﻒ ﺍﻹﺴﺘﻘﺑﺎﻝ ﻮﺍﻹﻄﻌﺎﻡ ﻮﺍﻹﻗﺎﻣﺔ ﻮﺍﻹﺤﺘﻔﺎﻻﺕ       ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,20.0,21.0,10.10.10.20.21,Achat de petit matériel fongible de décoration et de pavoisement,ﺸﺮﺍﺀ ﻋﺘﺎﺩ ﺼﻐﻴﺮ ﻟﻠﺘﺰﻳﻴﻦ       ,160000.0,160000.0,160000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,20.0,22.0,10.10.10.20.22,Location de matériel des fêtes,ﺍﻛﺘﺮﺍﺀ ﻋﺘﺎﺩ ﺍﻟﺤﻔﻼﺕ   ,50000.0,50000.0,50000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,20.0,23.0,10.10.10.20.23,Achat dobjets dart ou cadeaux remis en prix ou cadeaux remis aux délégations étrangères,ﺍﻟﺩﻮﻟﻴﺔ ﺸﺮﺍﺀ ﺍﻟﺘﺤﻒ ﺍﻟﻔﻧﻴﺔ ﻮﺍﻟﻬﺩﺍﻳﺎ ﻟﺘﺴﻠﻴﻡ ﺍﻟﺠﻮﺍﺋﺰ ﺃﻮ ﻫﺩﺍﻳﺎ ﻟﻠﺑﻌﺜﺎﺕ  ,30000.0,30000.0,30000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,20.0,24.0,10.10.10.20.24,Frais dhebergement de restauration et de réception,ﻣﺼﺎﺭﻳﻒ ﺍﻹﻗﺎﻣﺔ ﻮﺍﻹﻄﻌﺎﻡ ﻮﺍﻹﺴﺘﻘﺑﺎﻝ ,100000.0,100000.0,100000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,20.0,25.0,10.10.10.20.25,Frais danimation artistiques et culturelles,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻧﺸﺎﻄ ﺍﻟﺜﻘﺎﻓﻲ ﻮﺍﻟﻔﻧﻲ,100000.0,100000.0,100000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.20.00,Total du projet  20 - Frais de réception de restauration dhebergement et des fêtes,مجموع - ﻣﺼﺎﺭﻳﻒ ﺍﻹﺴﺘﻘﺑﺎﻝ ﻮﺍﻹﻄﻌﺎﻡ ﻮﺍﻹﻗﺎﻣﺔ ﻮﺍﻹﺤﺘﻔﺎﻻﺕ       ,440000.0,440000.0,440000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,30.0,0.0,10.10.10.30.00,Cotisation aux organismes internationaux,ﺍﻟﻣﺴﺎﻫﻣﺔ ﻓﻲ ﻣﺼﺎﺭﻳﻒ ﺍﻟﻣﻧﻈﻣﺎﺕ ﺍﻟﺩﻮﻟﻴﺔ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,30.0,31.0,10.10.10.30.31,Cotisation à,ﺍﻟﻣﺴﺎﻫﻣﺔ ﻓﻲ  ,40000.0,40000.0,40000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,30.0,32.0,10.10.10.30.32,Cotisation à,ﺍﻟﻣﺴﺎﻫﻣﺔ ﻓﻲ  ,20000.0,20000.0,20000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,30.0,33.0,10.10.10.30.33,Cotisation à,ﺍﻟﻣﺴﺎﻫﻣﺔ ﻓﻲ  ,1000.0,1000.0,1000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.30.00,Total du projet  30 - Cotisation aux organismes internationaux,مجموع - ﺍﻟﻣﺴﺎﻫﻣﺔ ﻓﻲ ﻣﺼﺎﺭﻳﻒ ﺍﻟﻣﻧﻈﻣﺎﺕ ﺍﻟﺩﻮﻟﻴﺔ,61000.0,61000.0,61000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,40.0,0.0,10.10.10.40.00,Jumelage,,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,40.0,41.0,10.10.10.40.41,Frais de transport à lintérieur du Royaume,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻧﻘﻞ ﺩﺍﺧﻞ ﺍﻟﻣﻣﻠﻜﺔ    ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,40.0,42.0,10.10.10.40.42,Frais de transport à létranger,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻧﻘﻞ ﺑﺎﻟﺧﺎﺭﺝ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,40.0,43.0,10.10.10.40.43,Frais de mission à létranger,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻣﻬﻣﺔ ﺑﺎﻟﺧﺎﺭﺝ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,40.0,44.0,10.10.10.40.44,Frais dhebergement de restauration et de réception,ﻣﺼﺎﺭﻳﻒ ﺍﻹﻗﺎﻣﺔ ﻮﺍﻹﻄﻌﺎﻡ ﻮﺍﻹﺴﺘﻘﺑﺎﻝ ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,40.0,45.0,10.10.10.40.45,Achat dobjets dart ou cadeaux remis en prix ou cadeaux remis aux délégations étrangères,ﺍﻟﺩﻮﻟﻴﺔ ﺸﺮﺍﺀ ﺍﻟﺘﺤﻒ ﺍﻟﻔﻧﻴﺔ ﻮﺍﻟﻬﺩﺍﻳﺎ ﻟﺘﺴﻠﻴﻡ ﺍﻟﺠﻮﺍﺋﺰ ﺃﻮ ﻫﺩﺍﻳﺎ ﻟﻠﺑﻌﺜﺎﺕ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.40.00,Total du projet  40 - Jumelage,مجموع - nan,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,50.0,0.0,10.10.10.50.00,Abonnement et documentation,ﺇﺸﺘﺮﺍﻛﺎﺕ ﻮﻮﺛﺎﺋﻖ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,50.0,51.0,10.10.10.50.51,Abonnement aux bulletins officiels et aux journaux et revues,ﺍﺸﺘﺮﺍﻙ ﻓﻲ ﺍﻟﺠﺮﺍﺋﺩ ﺍﻟﺮﺴﻣﻴﺔ ﻮﺍﻟﺠﺮﺍﺋﺩ ﻮﺍﻟﻣﺠﻼﺕ,6000.0,6000.0,6000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,50.0,52.0,10.10.10.50.52,Abonnement aux agences dinformation,ﺍﺸﺘﺮﺍﻙ ﻓﻲ ﻮﻛﺎﻻﺕ ﺍﻷﻧﺑﺎﺀ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,50.0,53.0,10.10.10.50.53,Abonnement aux réseaux dinformation,ﺍﺸﺘﺮﺍﻙ ﻓﻲ ﺸﺑﻜﺎﺕ ﺍﻷﻧﺑﺎﺀ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,50.0,54.0,10.10.10.50.54,Achat de documentations diverses,ﺸﺮﺍﺀ ﻮﺛﺎﺋﻖ ﻣﺧﺘﻠﻔﺔ,10000.0,10000.0,10000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,50.0,55.0,10.10.10.50.55,Abonnement aux réseaux deau et déléctricité,ﺍﺸﺘﺮﺍﻙ ﻓﻲ ﺸﺑﻜﺎﺕ ﺍﻟﻣﺎﺀ ﻮﺍﻟﻜﻬﺮﺑﺎﺀ    ,0.0,0.0,0
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.50.00,Total du projet  50 - Abonnement et documentation,مجموع - ﺇﺸﺘﺮﺍﻛﺎﺕ ﻮﻮﺛﺎﺋﻖ,16000.0,16000.0,16000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,0.0,10.10.10.60.00,Organisation de séminaires colloques et stages,ﺗﻧﻈﻴﻡ ﺍﻟﻧﺩﻮﺍﺕ ﻮﺍﻟﻣﻧﺎﻈﺮﺍﺕ ﻮﺍﻟﺘﺩﺍﺭﻳﺏ    ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,61.0,10.10.10.60.61,Frais de réception,ﻣﺼﺎﺭﻳﻒ ﺍﻹﺴﺘﻘﺑﺎﻝ ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,62.0,10.10.10.60.62,Frais dhebergement et de restauration,ﻣﺼﺎﺭﻳﻒ ﺍﻹﻳﻮﺍﺀ ﻮﺍﻹﻄﻌﺎﻡ,5000.0,5000.0,5000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,63.0,10.10.10.60.63,Frais de transport,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻧﻘﻞ,5000.0,5000.0,5000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,64.0,10.10.10.60.64,Fournitures et impression,ﻟﻮﺍﺯﻡ ﻮﻄﺑﻊ,5000.0,5000.0,5000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,65.0,10.10.10.60.65,Location de matériel didactique,ﻛﺮﺍﺀ ﺍﻟﻌﺘﺎﺩ ﺍﻟﺘﻌﻠﻴﻣﻲ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,66.0,10.10.10.60.66,Frais dhonoraires,ﻣﺼﺎﺭﻳﻒ ﺍﻷﺗﻌﺎﺏ,7000.0,7000.0,7000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,67.0,10.10.10.60.67,Vacations,ﺍﻟﺘﻌﻮﻳﻀﺎﺕ,6000.0,6000.0,6000
2020,Fonctionnement,Crédits,10.0,10.0,10.0,60.0,68.0,10.10.10.60.68,Frais danimation,ﻣﺼﺎﺭﻳﻒ ﺍﻟﺘﻧﺸﻴﻄ,10000.0,10000.0,10000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.60.00,Total du projet  60 - Organisation de séminaires colloques et stages,مجموع - ﺗﻧﻈﻴﻡ ﺍﻟﻧﺩﻮﺍﺕ ﻮﺍﻟﻣﻧﺎﻈﺮﺍﺕ ﻮﺍﻟﺘﺩﺍﺭﻳﺏ    ,38000.0,38000.0,38000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.10.10.00.00,Total du programme  10 - Action du Conseil ou Assemblée,مجموع - ﺃﻧﺸﻄﺔ ﺍﻟﻣﺠﻠﺲ ,1313200.0,1313200.0,1313200
2020,Fonctionnement,Crédits,10.0,20.0,20.0,0.0,0.0,10.20.20.00.00,Actions liées à la gestion du personnel,ﺍﻷﻧﺸﻄﺔ ﺍﻟﻣﺘﻌﻠﻘﺔ ﺑﺘﺴﻴﻴﺮ ﺍﻟﻣﻮﻈﻔﻴﻦ      ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,10.0,0.0,10.20.20.10.00,Rémunérations principales,ﺍﻟﺮﻮﺍﺗﺏ ﺍﻷﺴﺎﺴﻴﺔ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,10.0,11.0,10.20.20.10.11,Traitements et indémnités permanentes du personnel titulaire et assimilés,ﺍﻟﺮﻮﺍﺗﺏ ﻮﺍﻟﺘﻌﻮﻳﻀﺎﺕ ﺍﻟﻘﺎﺭﺓ ﻟﻠﻣﻮﻈﻔﻴﻦ ﺍﻟﺮﺴﻣﻴﻴﻦ ﻮﻣﺘﻼﺋﻣﻬﻡ       ,31200000.0,32230000.0,32230000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,10.0,12.0,10.20.20.10.12,Salaires et indemnités du personnel temporaire,ﺍﻷﺠﻮﺭ ﻮﺍﻟﺘﻌﻮﻳﻀﺎﺕ ﻟﻠﻣﻮﻈﻔﻴﻦ ﺍﻟﻣﺆﻗﺘﻴﻦ    ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,10.0,13.0,10.20.20.10.13,Salaires des contractuels,ﺃﺠﻮﺭ ﺍﻟﻣﺘﻌﺎﻗﺩﻳﻦ,1000.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,10.0,14.0,10.20.20.10.14,Salaires du personnel occasionnel,ﺃﺠﻮﺭ ﺍﻷﻋﻮﺍﻦ ﺍﻟﻌﺮﻀﻴﻴﻦ,1000.0,900000.0,900000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,10.0,15.0,10.20.20.10.15,Salaires et traitements des volontaires au service national actif VSNA,ﺃﺠﻮﺭ ﻮﺭﻮﺍﺗﺏ ﺍﻟﻣﺘﻄﻮﻋﻴﻦ ﻓﻲ ﺇﻄﺎﺭ ﺍﻟﺧﺩﻣﺔ ﺍﻟﻮﻄﻧﻴﺔ ﺍﻟﻧﺸﻴﻄﺔ,1000.0,0.0,0
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.20.20.10.00,Total du projet  10 - Rémunérations principales,مجموع - ﺍﻟﺮﻮﺍﺗﺏ ﺍﻷﺴﺎﺴﻴﺔ  ,31203000.0,33130000.0,33130000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,0.0,10.20.20.20.00,Indémnités diverses,ﺗﻌﻮﻳﻀﺎﺕ ﻣﺧﺘﻠﻔﺔ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,21.0,10.20.20.20.21,Indemnités pour travaux supplémentaires,ﺗﻌﻮﻳﻀﺎﺕ ﻋﻦ ﺍﻷﺸﻐﺎﻝ ﺍﻹﻀﺎﻓﻴﺔ    ,400000.0,400000.0,400000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,22.0,10.20.20.20.22,indémnités de caisse,ﺗﻌﻮﻳﻀﺎﺕ ﻋﻦ ﺍﻟﺼﻧﺩﻮﻖ   ,1000.0,1000.0,1000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,23.0,10.20.20.20.23,Indémnités dusure deffet,ﺗﻠﻒ ﺍﻟﺴﻧﺩﺍﺕ   ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,24.0,10.20.20.20.24,Indemnités pour travaux pénibles et salissants,ﺍﻟﺘﻌﻮﻳﻀﺎﺕ ﻋﻦ ﺍﻷﺸﻐﺎﻝ ﺍﻟﺸﺎﻗﺔ ﻮﺍﻟﻣﻮﺴﺧﺔ      ,1092000.0,1180000.0,1180000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,25.0,10.20.20.20.25,Vacations,,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,26.0,10.20.20.20.26,Indemnités de responsabilités,ﺗﻌﻮﻳﻀﺎﺕ ﻋﻦ ﺍﻟﻣﺴﺆﻮﻟﻴﺔ   ,330000.0,330000.0,330000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,20.0,27.0,10.20.20.20.27,Indemnités pour organisations des concours et examens,ﺗﻌﻮﻳﻀﺎﺕ ﻋﻦ ﺍﻹﺸﺮﺍﻒ ﻋﻠﻰ ﺍﻟﻣﺑﺎﺭﻳﺎﺕ ﻮﺍﻻﻣﺘﺤﺎﻧﺎﺕ       ,30000.0,30000.0,30000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.20.20.20.00,Total du projet  20 - Indémnités diverses,مجموع - ﺗﻌﻮﻳﻀﺎﺕ ﻣﺧﺘﻠﻔﺔ  ,1853000.0,1941000.0,1941000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,0.0,10.20.20.30.00,Cotisations et avantages sociaux,ﺗﻐﻄﻴﺔ ﻮﻓﻮﺍﺋﺩ ﺇﺠﺘﻣﺎﻋﻴﺔ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,31.0,10.20.20.30.31,Participations patronales à la caisse marocaine de retraite CMR,ﻣﺴﺎﻫﻣﺔ ﺃﺭﺑﺎﺏ ﺍﻟﻌﻣﻞ ﻓﻲ ﺍﻟﺼﻧﺩﻮﻖ ﺍﻟﻣﻐﺮﺑﻲ ﻟﻠﺘﻘﺎﻋﺩ       ,4160000.0,4260000.0,4260000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,32.0,10.20.20.30.32,Participations patronales au régime collectif dallocation de retraite RCAR,ﺍﻟﻣﺴﺎﻫﻣﺎﺕ ﻓﻲ ﺍﻟﻧﻈﺎﻡ ﺍﻟﺠﻣﺎﻋﻲ ﻟﻣﻧﺢ ﺭﻮﺍﺗﺏ ﺍﻟﺘﻘﺎﻋﺩ      ,1000.0,100000.0,100000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,33.0,10.20.20.30.33,Participations patronales aux organismes de prévoyance sociale CNOPS,ﺍﻟﻣﺴﺎﻫﻣﺎﺕ ﻓﻲ ﻣﻧﻈﻣﺎﺕ ﺍﻹﺤﺘﻴﺎﻄ ﺍﻹﺠﺘﻣﺎﻋﻲ   ,718000.0,750000.0,750000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,34.0,10.20.20.30.34,Prime de naissance,ﺍﻟﺘﻌﻮﻳﺾ ﻋﻦ ﺍﻟﻮﻻﺩﺓ,30000.0,30000.0,30000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,35.0,10.20.20.30.35,Assurance des fonctionnaires et agents,ﺗﺄﻣﻴﻦ ﺍﻟﻮﻈﻔﻴﻦ ﻮﺍﻷﻋﻮﺍﻦ,220000.0,220000.0,220000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,36.0,10.20.20.30.36,Aide exceptionnelle au logement,ﺍﻹﻋﺎﻧﺔ ﺍﻹﺴﺘﺜﻧﺎﺋﻴﺔ ﻟﻠﺴﻜﻧﻰ,1000.0,1000.0,1000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,37.0,10.20.20.30.37,Assistance au titre du pèlerinage aux lieux saints de lislam,ﺇﻋﺎﻧﺎﺕ ﻟﺘﺄﺩﻳﺔ ﻓﺮﻳﻀﺔ ﺍﻟﺤﺞ      ,60000.0,60000.0,60000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,38.0,10.20.20.30.38,Habillement des agents y ayant droit,ﻟﺑﺎﺲ ﺍﻷﻋﻮﺍﻦ ﺍﻟﻣﺴﺘﺧﺩﻣﻴﻦ,150000.0,150000.0,150000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,30.0,39.0,10.20.20.30.39,Assistance à loccasion de la fête du sacrifice,ﺇﻋﺎﻧﺎﺕ ﺑﻣﻧﺎﺴﺑﺔ ﻋﻴﺩ ﺍﻷﻀﺤﻰ       ,0.0,0.0,0
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.20.20.30.00,Total du projet  30 - Cotisations et avantages sociaux,مجموع - ﺗﻐﻄﻴﺔ ﻮﻓﻮﺍﺋﺩ ﺇﺠﺘﻣﺎﻋﻴﺔ,5340000.0,5571000.0,5571000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,40.0,0.0,10.20.20.40.00,Transport et déplacement du personnel titulaire et contractuel,ﻧﻘﻞ ﻮﺗﻧﻘﻞ ﺍﻟﻣﻮﻈﻔﻴﻦ ﻮﺍﻟﻣﺘﻌﺎﻗﺩﻳﻦ      ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,20.0,20.0,40.0,41.0,10.20.20.40.41,Frais de déplacement à lintérieur du Royaume,ﻣﺼﺎﺭﻳﻒ ﺍﻟﺘﻧﻘﻞ ﺩﺍﺧﻞ ﺍﻟﻣﻣﻠﻜﺔ     ,350000.0,350000.0,350000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,40.0,42.0,10.20.20.40.42,Frais de mission à létranger,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻣﻬﻣﺔ ﺑﺎﻟﺧﺎﺭﺝ  ,30000.0,30000.0,30000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,40.0,43.0,10.20.20.40.43,Frais de transport à lintérieur du Royaume,ﻣﺼﺎﺭﻳﻒ ﺍﻟﻧﻘﻞ ﺩﺍﺧﻞ ﺍﻟﻣﻣﻠﻜﺔ    ,1000.0,1000.0,1000
2020,Fonctionnement,Crédits,10.0,20.0,20.0,40.0,44.0,10.20.20.40.44,Frais de stage,ﻣﺼﺎﺭﻳﻒ ﺍﻟﺘﺩﺍﺭﻳﺏ,30000.0,30000.0,30000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.20.20.40.00,Total du projet  40 - Transport et déplacement du personnel titulaire et contractuel,مجموع - ﻧﻘﻞ ﻮﺗﻧﻘﻞ ﺍﻟﻣﻮﻈﻔﻴﻦ ﻮﺍﻟﻣﺘﻌﺎﻗﺩﻳﻦ      ,411000.0,411000.0,411000
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.20.20.00.00,Total du programme  20 - Actions liées à la gestion du personnel,مجموع - ﺍﻷﻧﺸﻄﺔ ﺍﻟﻣﺘﻌﻠﻘﺔ ﺑﺘﺴﻴﻴﺮ ﺍﻟﻣﻮﻈﻔﻴﻦ      ,38807000.0,41053000.0,41053000
2020,Fonctionnement,Crédits,10.0,30.0,30.0,0.0,0.0,10.30.30.00.00,Actions liées aux autres moyens de fonctionnement,ﺍﻷﻧﺸﻄﺔ ﺍﻟﻣﺘﻌﻠﻘﺔ ﺑﻮﺴﺎﺋﻞ ﺍﻟﺘﺴﻴﻴﺮ ﺍﻷﺧﺮﻯ      ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,30.0,30.0,10.0,0.0,10.30.30.10.00,Location,ﺍﻹﻛﺘﺮﺍﺀ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,30.0,30.0,10.0,11.0,10.30.30.10.11,Location de bâtiments administratifs,ﺍﻛﺘﺮﺍﺀ ﺑﻧﺎﻳﺎﺕ ﺇﺩﺍﺭﻳﺔ  ,444000.0,250000.0,250000
2020,Fonctionnement,Crédits,10.0,30.0,30.0,10.0,12.0,10.30.30.10.12,Location de logements,ﺍﻛﺘﺮﺍﺀ ﺩﻮﺭ ﻟﻠﺴﻜﻧﻰ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,30.0,30.0,10.0,13.0,10.30.30.10.13,Location de terrains,ﺍﻛﺘﺮﺍﺀ ﺃﺭﺍﻀﻲ,0.0,0.0,0
2020,Fonctionnement,Crédits,10.0,30.0,30.0,10.0,14.0,10.30.30.10.14,Location de matériel de transport et engins,ﺍﻛﺘﺮﺍﺀ ﺁﻟﻴﺎﺕ ﺍﻟﻧﻘﻞ ﻮﺁﻟﻴﺎﺕ ﺃﺧﺮﻯ     ,10000.0,10000.0,10000
2020,Fonctionnement,Crédits,10.0,30.0,30.0,10.0,15.0,10.30.30.10.15,Location de matériel informatique,ﺍﻛﺘﺮﺍﺀ ﻋﺘﺎﺩ ﻣﻌﻠﻮﻣﺎﺗﻲ  ,0.0,0.0,0
2020,Fonctionnement,Crédits,0.0,0.0,0.0,0.0,0.0,10.30.30.10.00,Total du projet  10 - Location,مجموع - ﺍﻹﻛﺘﺮﺍﺀ,454000.0,260000.0,260000
2020,Fonctionnement,Crédits,10.0,30.0,30.0,20.0,0.0,10.30.30.20.00,Maintenance et conservation de bâtiments et matériel technique,ﺍﻟﻌﻧﺎﻳﺔ ﻮﺍﻟﻣﺤﺎﻓﻈﺔ ﻋﻠﻰ ﺍﻟﺑﻧﺎﻳﺎﺕ ﻮﺍﻟﻌﺘﺎﺩ ﺍﻟﺘﻘﻧﻲ    ,0.0,0.0,0
